simple_name	sample_id	custom_fwd_qseqids	refseq_fwd_qseqids	common_fwd_qseqids	common_fwd_list	custom_rev_qseqids	refseq_rev_qseqids	common_rev_qseqids	common_rev_list
Human betaherpesvirus 7	vir16	223	0	223	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']	221	0	221	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir19	6	0	6	['NC_001716.2 Human herpesvirus 7, complete genome']	6	0	6	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir2	25	0	25	['NC_001716.2 Human herpesvirus 7, complete genome']	1	0	1	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir3	63	0	63	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']	63	0	63	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome', 'NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102']
Human betaherpesvirus 7	vir4	32	0	32	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']	31	0	31	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir7	6	0	6	['NC_001716.2 Human herpesvirus 7, complete genome']	6	0	6	['NC_001716.2 Human herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir8	18	0	17	['NC_001716.2 Human herpesvirus 7, complete genome']	18	0	18	['NC_001716.2 Human herpesvirus 7, complete genome', 'NC_030200.1 Macaca nemestrina herpesvirus 7, complete genome']
Human betaherpesvirus 7	vir9	10	0	10	['NC_001716.2 Human herpesvirus 7, complete genome']	10	0	10	['NC_001716.2 Human herpesvirus 7, complete genome']
Human gammaherpesvirus 4	vir1	378	378	378	['NC_009334.1 Human herpesvirus 4, complete genome', 'NC_007605.1 Human gammaherpesvirus 4, complete genome', 'NC_043058.1 Cercopithecine herpesvirus 12 FGARAT gene, partial cds; vIL10, NTR, EBNA-LP, and EBNA-2 genes, complete cds; EBER1 and EBER2 genes, complete sequence; and vBcl-2 gene, complete cds', 'NC_006146.1 Macacine herpesvirus 4, complete genome', 'NC_076963.1 Macaca arctoides gammaherpesvirus 1, complete genome', 'NC_055142.1 Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome', 'NC_038937.1 Pongine herpesvirus 3 BALF1-like protein (BALF1) gene, complete cds', 'NC_075918.1 Cercopithecine herpesvirus 12 (Baboon herpesvirus) gB gene for glycoprotein B', 'NC_075917.1 Pongine herpesvirus 3 (Gorilla herpesvirus) gB gene for glycoprotein B gene', 'NC_038860.1 Pongine herpesvirus 2 (Orangutan herpesvirus) gB gene for glycoprotein B gene', 'NC_038859.1 Pongine herpesvirus 1 (Chimpanzee herpesvirus) gB gene for glycoprotein B gene']	3004	2781	2874	['NC_009334.1 Human herpesvirus 4, complete genome', 'NC_007605.1 Human gammaherpesvirus 4, complete genome', 'NC_076963.1 Macaca arctoides gammaherpesvirus 1, complete genome', 'NC_055142.1 Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome', 'NC_006146.1 Macacine herpesvirus 4, complete genome', 'NC_043058.1 Cercopithecine herpesvirus 12 FGARAT gene, partial cds; vIL10, NTR, EBNA-LP, and EBNA-2 genes, complete cds; EBER1 and EBER2 genes, complete sequence; and vBcl-2 gene, complete cds', 'NC_038860.1 Pongine herpesvirus 2 (Orangutan herpesvirus) gB gene for glycoprotein B gene', 'NC_038859.1 Pongine herpesvirus 1 (Chimpanzee herpesvirus) gB gene for glycoprotein B gene', 'NC_075917.1 Pongine herpesvirus 3 (Gorilla herpesvirus) gB gene for glycoprotein B gene', 'NC_075918.1 Cercopithecine herpesvirus 12 (Baboon herpesvirus) gB gene for glycoprotein B', 'NC_038937.1 Pongine herpesvirus 3 BALF1-like protein (BALF1) gene, complete cds']
Human gammaherpesvirus 4	vir10	14	0	0	[]	13	0	0	[]
Human gammaherpesvirus 4	vir11	52	2	2	['NC_009334.1 Human herpesvirus 4, complete genome', 'NC_007605.1 Human gammaherpesvirus 4, complete genome', 'NC_055142.1 Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome', 'NC_006146.1 Macacine herpesvirus 4, complete genome', 'NC_076963.1 Macaca arctoides gammaherpesvirus 1, complete genome']	52	2	2	['NC_009334.1 Human herpesvirus 4, complete genome', 'NC_007605.1 Human gammaherpesvirus 4, complete genome', 'NC_076963.1 Macaca arctoides gammaherpesvirus 1, complete genome', 'NC_006146.1 Macacine herpesvirus 4, complete genome', 'NC_055142.1 Lymphocryptovirus Macaca/pfe-lcl-E3, complete genome']
